"id","chapter","EZ_charter","HD_charter","IN_charter","AT_charter","EZ_notes","HD_notes","IN_notes","AT_notes"
"Spasmodic.姜米條颶風元力上人","Chapter 5","無極☆雷鳴 ~ ♫死の序曲♫","無極☆雷鳴 ~ ♫死の序曲♫","無極☆雷鳴 ~ ♫死の序曲♫","無極☆雷鳴 ~ ♫死の序曲♫","637","904","1389","1671"
"LeaveAllBehind.rider","Chapter 5","亚树见希子 & 百九十八","亚树见希子 & 百九十八","亚树见希子 & 百九十八","","210","394","523",""
"ColorfulDays.P4koofeatつゆり花鈴","Chapter 6","阿♪爽","阿♪爽","阿♪爽","","156","186","407",""
"microwav.dandeless","Chapter 6","百九十八","百九十八","百九十八","","196","459","649",""
"重生.姜米條","Chapter 6","Barbarianerman","Barbarianerman","Barbarianerman","","354","650","900",""
"NOONEYESMAN.MYUKKE","Chapter 6","Ctymax","晨","晨 vs. Ctymax","","394","612","844",""
"望影の方舟Six.SeURa","Chapter 6","六回目Traveler Scend","六回目Traveler Scend","六回目Traveler Scend as ""Knight of Arq""","","276","526","1066",""
"Igallta.SeURa","Chapter 6","信仰の剣『生』","平川の剣『士』","夜明の剣『靈』","断罪の剣『神』","414","601","1018","1114"
"ClockParadox.WyvernP","Chapter 7","Barbarianerman vs. Alloces","Barbarianerman vs. Alloces","Barbarianerman vs. Alloces","","188","312","520",""
"Chronologika.Hundotte","Chapter 7","TimiTini","XMT小咩兔","Ctymax vs. Barbarianerman","","271","456","776",""
"NickofTime.P4koo","Chapter 7","晨 vs. XMT小咩兔","晨 vs. XMT小咩兔","NerSAN","","328","429","745",""
"Chronomia.Lime","Chapter 7","Pcat","Rikko","時の希 & 百九十八","","338","663","992",""
"ChronosCollapseLaCampanella.SunsetRay","Chapter 7","Pcat『Scatter』","阿爽『Destroy』","NerSAN vs. 阿爽 『Collapse』","","350","773","1500",""
"Rrharil.TeamGrimoire","Chapter 7","RDRT -p 19:08:31","RDRT -p 20:02:21","RDRT -p 20:08:31","RWND -p 16493:62786:92551","446","700","1300","1300"
"CraveWave.LandRoot","Chapter 8","Likey","Likey","Likey feat. 198","","177","396","816",""
"TheChariotREVIIVAL.Attoclef","Chapter 8","M3d1uM","Alloces","Ctymax drives in BlindForest","","520","660","1009",""
"Luminescence.米虾Fomiki初云CLoudie","Chapter 8","XMT小咩兔","XMT小咩兔","Pcat & 百九十八","","443","689","987",""
"Retribution.nmyKryexe","Chapter 8","NerSAN","NerSAN","Ner as ""SPΔDE""","","555","868","1358",""
"DESTRUCTION321.Normal1zervsBrokenNerdz","Chapter 8","{Demolition,Devastation,Destruction}","{Devastation,Destruction}","{Destruction}","∅","1060","1250","1532","2330"
"DistortedFate.Sakuzyo","Chapter 8","De Fiance","Doubt Ful","Divination Fortune","unDefined Future","594","970","1449","1283"
"Doppelganger.LeaF","Single","Lumiere","Lumiere","Gausbon","","436","591","921",""
"もぺもぺ.LeaF","Single","阿爽 fixed by Barbarinerman","阿爽 fixed by Barbarinerman","阿爽","阿爽","125","289","412","720"
"MARENOL.LeaF","Single","H.C.C. fixed by Barbarinerman","H.C.C. fixed by Barbarinerman","百九十八","","95","467","689",""
"萤火虫の怨.闫东炜","Single","阿爽 & 百九十八","阿爽 & 百九十八","阿爽 & 百九十八","","245","746","885",""
"万吨匿名信.闫东炜","Single","猫の信 & 百九十八","猫の信 & 百九十八","猫の信 & 百九十八","","307","648","781",""
"风屿.闫东炜","Single","Arenn Saki vs. Catcats vs. 百九十八","Arenn Saki vs. Catcats vs. 百九十八","Arenn Saki vs. Catcats vs. 百九十八","JKy","368","802","1156","1236"
"dBdoll.YUESTEVENuen","Single","阿爽 fixed by Barbarianerman","阿爽 fixed by Barbarianerman","阿爽","NerSAN & 百九十八","60","124","237","377"
"Dash.小红Akane李祥辉","Single","阿爽 fixed by Barbarianerman","阿爽 fixed by Barbarianerman","JKy","","114","210","346",""
"云女孩.符白牙SiYFics","Single","Cloud Catcats","Cloud Catcats","云正太","","220","538","669",""
"DropIt.Asuka","Single","Drop Catcats","Drop Catcats","NerSAN & 百九十八","","505","602","1031",""
"RIPPER.Friedwav","Single","撕裂者『無極』 fixed by 晨","撕裂者『無極』 fixed by 晨","撕裂者『Alloces vs. Shin』","","520","704","1186",""
"Aphasia.闫东炜","Single","百九十八","百九十八","百九十八","","283","362","553",""
"开心病.闫东炜","Single","HaraKuma","HaraKuma","Barbarianerman feat. 晨","","399","601","840",""
"華灯爱.闫东炜","Single","HaraKuma","HaraKuma","Barbarianerman","","312","357","520",""
"FindMe.Kforest","Single","Find_Ctymax","Find_Ctymax","Find_Ctymax fixed by 百九十八","","465","657","836",""
"Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻","Single","A.S.H","A.S.H","A.S.H&晨","","203","473","721",""
"狂喜蘭舞.LeaF","Single","Catcats a.k.a. 無極 vs. H.C.C. fixed by 晨","Catcats a.k.a. 無極 vs. H.C.C. fixed by Pcat","晨","Catcats a.k.a. 無極 vs. H.C.C. fixed by 野从&晨","472","651","968","1325"
"SparkleNewLife.rider","Single","Sparkle Ctymax","Sparkle Ctymax","Sparkle Ctymax fixed by 百九十八","","305","497","684",""
"KhronostasisKatharsis.Halv","Single","XMT小咩兔 & Myna","XMT小咩兔 & Myna","StupiGGy fixed by 百九十八","","369","644","861",""
"SnowDesert.WyvernP","Single","VikingNexus","VikingNexus","VikingNexus","","364","459","655",""
"Burn.NceS","Single","Ctymatch Girl","Burn Full Catcats","Burn Full Catcats vs. Ctymatch Girl","","278","497","707",""
"Aleph0.LeaF","Single","Clutter","Clutter","Clutter","","153","531","885",""
"NextTime.SaMZIng","Single","Gausbon ~ See you next time ~ ","Gausbon ~ See you next time ~ ","Gausbon ~ See you next time ~ ","","240","303","387",""
"RubbishSorting.CtymaxvsNceS","Single","阿爽 vs. Ctymax -Haose 垃圾-","阿爽 vs. Ctymax -Haose 垃圾-","阿爽 vs. Ctymax -Haose 垃圾-","","229","475","613",""
"AnotherMe.NeutralMoon","Rising Sun Traxx","Another M3","Another M3","NerSAN","","318","425","564",""
"mechanted.rareguy","Rising Sun Traxx","Ctymax","Ctymax","Ctymax","","184","500","662",""
"lifeflashesbeforeweebeyes.BilliumMoto","Rising Sun Traxx","百九十八","百九十八","百九十八","","567","960","1065",""
"BreakThroughTheBarrier.lixound","Rising Sun Traxx","Su1fuR","Su1fuR","百九十八","","419","581","1090",""
"Chronostasis.黒皇帝","Rising Sun Traxx","Uvernight","Uvernight","Gausbon fixed by XMT","","291","821","1326",""
"DeadSoul.SoundSouler","Single","Phigros Charting Team","Phigros Charting Team","Phigros Charting Team","","273","613","787",""
"InfinityHeaven.HyuN","HyuN","晨 vs. 阿爽","晨 vs. 阿爽","晨 vs. 阿爽","","164","422","1029",""
"Disorder.HyuNfeatYURI","HyuN","Gausbon","Gausbon","Gausbon","","444","629","918",""
"CROSSSOUL.HyuNfeatSyepias","HyuN","無†極","無†極 fixed by Rikko","無†極","","517","892","1305",""
"SpeedUp.DarTokki","Single","Ctymax vs. 百九十八","Ctymax vs. 百九十八","Ctymax vs. 百九十八","","262","463","711",""
"MagentaPotion.EmoCo","Single","Ctymax vs. 晨","Ctymax vs. 晨","Ctymax vs. 晨","","334","631","791",""
"GetBack.CAP3","Single","JKy","JKy","JKy","","321","550","708",""
"Palescreen.WyvernPfeatMadol","Single","Jeitie","Jeitie","Jeitie","","224","772","1059",""
"GOODTEK.EBIMAYO","GOOD","百九十八","百九十八","百九十八","","295","609","873",""
"GOODBOUNCE.EBIMAYO","GOOD","Gausbounce & 晨","Gausbounce","Ctymax vs. Gausbounce","","588","797","898",""
"GOODWORLD.EBIMAYO","GOOD","阿爽","StupiGGy","StupiGGy vs. 阿爽","","215","805","960",""
"GOODFORTUNE.EBIMAYO","GOOD","晨","晨","晨","","455","733","1011",""
"GOODRAGE.EBIMAYO","GOOD","阿爽","阿爽","Ctymax vs. 阿爽","","308","628","1034",""
"TheMountainEater.PaulBazooka","Single","百九十八","百九十八","百九十八","","210","386","697",""
"Orthodox.tokiwa","Single","StR-1","StR-1","Uvernight fixed by StR-1","","312","446","963",""
"EndMe.ZxNXasDelaina","Single","鲲","鲲","鲲 fixed by 百九十八","","217","320","724",""
"ParallelRetrogressionGameVer.Tetrajectory","Single","HaraKuma","HaraKuma","HaraKuma","","507","697","851",""
"Starduster.Quree","Single","NerSAN","NerSAN","NerSAN","","280","578","874",""
"Electron.ElousFZ","Single","百九十八","百九十八","百九十八","","219","423","576",""
"SIGMA.Kryexe","Single","Barbarianerman.exe","Bσrbσriσnermσn.exe","Bσrbσriσn∑rmσn.∑x∑","","352","516","785",""
"HardcoreKwaya.EnFr","Single","One skunk (Ctymax) in Africa","Hardcore Barbaya","Two skunks (Ctymax and 晨) in Africa shouting WAHHHHHH!","","340","611","852",""
"Aventyr.GrandThawRigelTheatre","Single","Barbarianerman","Snorkel","Barbarianerman vs. Snorkel","","345","626","954",""
"Trane.MALVA","Single","Barbarianerman","Barbarianerman","Barbarianerman","","148","420","661",""
"雪降りメリクリ.A39","Single","Merry xmAS","Merry ChristymAxS","N\erry Xmas","","316","559","939",""
"CervelleConnexion.SCTL","Single","Eastern Ailuropoda Gang","Eastern Ailuropoda Gang","Eastern Ailuropoda Gang","","301","569","563",""
"modulus.PTB10","Single","Cty moyules","Cty moyules","Pat Brick Man Mr.C","","258","482","774",""
"Wavetapper.Frums","Single","Sillyp","Sillyp","百九十八 vs. Barbarianerman","","470","507","866",""
"大和撫子WildDances.adapatorvsDRIVE","Single","Eaimo fixed by NerSAN","Eaimo fixed by NerSAN","Eaimo vs. CtyNer dancing wildly","","274","549","1002",""
"Eltaw.Fl00t","Single","JKy","JKy","BarbariaNERman vs. JKy","","391","608","855",""
"Initialize.iF","WAVEAT","阿爽","NerSAN","Arenn Saki vs. NerSAN","","117","354","581",""
"桜樹街道.kozatosnow","WAVEAT","Barbarianerman","Barbarianerman","百九十八","","292","421","459",""
"GetReady.iF","WAVEAT","StupiGGy","StupiGGy","StupiGGy","","363","584","819",""
"volcanic.DETROakaルゼ","WAVEAT","Barbarianerman","Rikko","Ctymax in a volcano, very delicious","Alloces","1052","985","1178","1650"
"BetterGraphicAnimation.ルゼ","Single","NerSAN","NerSAN","縱連打の信者☆無極","","178","469","616",""
"XING.ginkiha","Muse Dash","StupiGGy","StupiGGy","Sillyp vs. 阿爽","","310","587","711",""
"FinalStep.Lime","Muse Dash","Barbarianerman","Barbarianerman","Barbarianerman vs. Uvernight","","355","604","931",""
"Cthugha.USAO","Muse Dash","Barbarianerman","Barbarianerman","Gausbon","百九十八 feat. NerSAN","378","697","1333","1444"
"WithYou.Cashew","Single","with U","with U","with U","","226","654","774",""
"UnorthodoxThoughts.Joulez","Single","Barbarianerman","HaraKuma","Barbarianerman vs. HaraKuma","","512","644","729",""
"Apocalyptic.ZClaxxSumaiLight","Single","阿爽","NerSAN","NerSAN vs. 阿爽","","282","329","676",""
"游园地.椒盐菠萝","Single","野从菠萝","野从菠萝","椒盐倪尔","","220","444","481",""
"energytrixxx.KAH","Single","NerSAN","NerSANN","NerSANNN","","252","477","930",""
"Nhelv.Silentroom","Single","野从","StupiGGy","森德雷斯 vs. 百九十八","","196","571","833",""
"Arkhei.SeraAmagi","Single","-JKy-","-JKy-","-JKy-","","462","454","644",""
"Kerberos.Zris","Single","Alloces","NerSAN","Snorkel vs. NerSAN","","262","683","978",""
"parsey.siqlo","Single","Rikko","Rikko & TangScend","TangScend","","181","449","777",""
"Concvssion.Halv","Single","J.R","晨","Phigros Charting Team","","450","700","1000",""
"ジングルベルJingleBell.A39沙包P","Single","merry CNrisTimas","merry XM AS","NerSANTA vs. BarbarianerSLEDGE","","639","492","1239",""
"TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX","KALPA","Rikko","Barbarianerman","Likey & 198ar","","165","559","540",""
"HAZARD.Limpid","KALPA","NerSAN","NerSAN","阿爽","","283","507","588",""
"AnotherMe.DAAN","KALPA","Pcat","Another cat","NerSAN vs. Ctymax as ""泥头鱼""","","455","715","1449",""
"DontNeverAround.HAMA","KALPA","XMT小咩兔","XMT小咩兔","XMT小咩兔","","308","639","1028",""
"RESSiSTANCE.ぐるたみん","KALPA","其一 呼吸尚存的标志","其二 向前迈进的理由","其三 我所存在的证明","","499","744","1026",""
"Dreamland.z1onkyrrin","Single","Bear","Bear","XMT & 198","","338","476","627",""
"AnotherRound.JustinDai","Single","阿爽","Another Stage","TimiTini →""X""← 阿爽","","136","353","505",""
"996.李化禹","Single","RTH","Likey","Barbarianerman & NerSAN in the ICU","","392","453","996",""
"FutureMind.RayNauticaRekuMochizuki","Single","Barbarianerman","XMT小咩兔","Future BarbarXMT","","365","570","866",""
"Luminescent.Daison","Single","Uvernight","Uvernight","百九十八","","330","608","650",""
"FULiAUTOBUSTER.MYUKKE","Single","M3d1uM & 百九十八","M3d1uM & 百九十八","百九十八 busting 阿爽","","285","596","755",""
"IMustSayNo.TangJuan","Single","Likey","JKy","Likey & 百九十八","","76","364","470",""
"opia.rN","Single","BlindForest","BlindForest 『Observing』","Jeitie & CorruptedEntity 『Hollow』","","233","548","793",""
"Apocalypse.アリスシャッハと魔法の楽団","Lanota","R.","B.","Rikko & 198","","207","382","676",""
"Protoflicker.Silentroom","Lanota","Barbarianerman & J.R","RTH","Gausbon","","259","511","1210",""
"HorizonBlue.NothingButRequiemfeatAikapinChiyoko","Lanota","Nothing But Uvernight","Nothing But Likey","Nothing But Ner & Pcat","","519","733","1084",""
"YouaretheMiserable.tpazolite","Lanota","M3d1uM","M3d1uM","We are the Miserable","Pat Brick Man Mr.C & Mr.B","486","762","893","1344"
"Stasis.Maozon","Lanota","空の希","空の希","ST AS is XMT","百九十八","446","902","1322","1700"
"いざ参ります.Uskefeat棗いつき","Single","Clutter & Barbarianerman","Clutter & Barbarianerman","小咩兔、参上","","188","441","865",""
"月下缭乱.月見静華vsLUNARiUM","Single","XMT小咩兔","XMT小咩兔","iv","","419","533","969",""
"OnAndOn.ETIAfeatJenga","Single","Rikko","Rikko","NerSAN feat. Takanashi Rikko","","195","323","830",""
"DataErr0r.Cosmograph","Single","[!!12:l<l<ο!!]","Rikko","TangScend -Err0rederci-","","50","400","613",""
"Shadow.SumaiLightvs姜米條","姜米條","晨","晨","Sillyp vs. 晨","J0(_)I2|\|3y'5 3|\||)","393","549","840","1089"
"心之所向.姜米條","姜米條","波之所杂","波之所杂","倪之所爽","","226","422","713",""
"inferior.姜米條","姜米條","Ner, the inferior","Ner, the inferior","JKy, the inferior","","226","489","755",""
"csqn.Aoi","Single","b.b.n.m.","h.o.m.e.e.e.","s.t.p.g.","","330","755","1066",""
"BraveNotes.TurquoiseDRIVENota","Single","Brave Eaimo","Brave Eaimo","Brave Eaimo","","299","442","768",""
"盏茗.茶鸣拾贰律","茶鸣拾贰律","Barbarianerman","Barbarianerman","NerSAN sipping XMTea","","83","176","706",""
"青芽.茶鸣拾贰律","茶鸣拾贰律","生根发芽的小咩兔","逆流而上的小咩兔","Hook vs. _鉄","","366","520","1102",""
"EternalSnow.AbyssIdols","Single","M3d1uM","M3d1uM","JKy","","288","533","700",""
"RainySeason.AbyssIdols","Single","StupiGGy","StupiGGy","Raiky Season","","304","594","660",""
"ElCondorPasaPhigrosEdit.PlasticFruits","Single","TimiTini","TimiTini","XMT小咩兔","","259","585","1140",""
"BreakOver.Kforest","Single","Barbarianerman","Barbarianerman","百九十八 vs. Barbarianerman","百九十八","300","919","910","570"
"BelieveLightfeat果丸哒呦.ScalerMestie果丸哒呦","Single","Believe Ctymax","Believe TimiTini","Believe Ctymax & TimiTini","","264","580","972",""
"Pontdessouvenirs.VeetaCrushvsitsufeatitsu","Single","JKy","JKy","晨","","461","567","899",""
"青丘.BLACK0","Single","Ctymax","Su1fuR","KillJoy","","284","534","1304",""
"瓷岁.茶鸣拾贰律","茶鸣拾贰律","『流』年大顺","『流』年大顺","『兔』年大吉","","120","309","365",""
"Feast远东之宴.茶鸣拾贰律","茶鸣拾贰律","Barbarianerman","Barbarianerman","Gino","","600","800","1000",""
"インフェルノシティ.Ponchifeatはぁち","Single","Su1fuR","Alloces feat. Uvernight","Alloces","","352","578","1275",""
"Upshift.Iriss-Frantzz","Single","Lumiere","CorruptedEntity & 野从","_鉄","","630","545","946",""
"PoisonANDORAffection.LeaF","Single","R/kko","&ikko","1÷98","","140","278","888",""
"Random.SobremSilentroom","Single","Barbarianerman","IMD_6","_鉄","","275","568","732",""
"零號車輛.seatrus","Paradigm: Reboot","零號宇夜","壹號阿爽","Pcat【零】198","","594","1058","1240",""
"NowIsTheTimeDoIt.RoyMikelate","Single","M3d1uM","M3d1uM","Pat Brick Man Mr.N feat. Ner of Time","","246","777","795",""
"Bougainvillea.Jade","Single","Barbarvillea","Barbarvillea","Barbarvillea","","300","347","662",""
"神話.PicaM2U","OverRapid","雑","波","P & U","","289","433","735",""
"Elúltimobaile.Θ","OverRapid","Barbarianerman","Barbarianerman","百九十八 feat. Likey","","261","480","610",""
"Trojan.litmus","OverRapid","M3d1uM","M3d1uM","Warning: XMT is infected by Trojan!!","","345","741","1305",""
"TemporalShifting.LureRabbitVC","OverRapid","Su1fuR","Su1fuR","Gausbon vs. 阿爽","","127","465","959",""
"Adastraperaspera.RabbitHouse","OverRapid","Barbarianerman","XMT小咩兔","Hara小兔组","","696","924","1454",""
"Ajourneytothemoonlight.Yesod","OverRapid","Rikko from「PHIGROS MOON」","Rikko from「PHIGROS MOON」","Ner & 198 from 「PHIGROS MOON」","","242","555","1199",""
"RainyHeart.BelieverInYou阿卡姆巫师","Single","Su1fuR","Barbarianerman","HaraKuma","","194","331","440",""
"Realms.HinkikAHimitsu","Single","Barbarianerman","Barbarianerman","NerSAN","","216","562","673",""
"ぱぴぷぴぷぴぱ.ころねぽちWith立秋","Single","ParParianerman","ParParianerman","さるふるふるさ","","637","1290","1243",""
"TriumphRegret.typeMARS","Single","Barbarianerman & Regret","Barbarianerman & Regret","TimiTini & HaraKuma","","423","694","1014",""
"SATELLITE.かめりあ","かめりあ","XMT wishing upon a satellite","B.A.R.B.A.R.I.A.N.E.R.M.A.N.","L.I.K.E.Y.","N.E.R.1.9.8.","345","600","897","1098"
"DancewithSilence.かめりあ","かめりあ","Su1fuR","Su1fuR","晨_鉄","","170","552","1125",""
"LabyrinthinKowloonWalledWorld.かめりあ","かめりあ","VikingNexus","VikingNexus","198 in Kowloon","","491","968","1150",""
"ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ","かめりあ","Clutter","Clutter","Gausbon vs. XMT小咩兔","","330","723","1213",""
"ERABYECONNEC10N.かめりあ","かめりあ","4B314C3042592B45","4D45474142592B45","4731474142592B45","2B45524142592B45","492","904","1530","1579"
"DiamondEyes.SYNTHETIC","Single","Su1fuR","Su1fuR","Clutter","","340","429","774",""
"Bitterblossom.imvi","Single","Su1fuR","Barbarianerman","百九十八","","152","581","597",""
"SilenceisGoldenSpeechisGolden.NIWASHI","EGTS","Clutter is coppery，Tumult is coppery","XMT is silvery, 小咩兔 is silvery","Hara is golden, Kuma is golden","","376","795","1273",""
"FracturedAngel.DJRaisei","EGTS","Su1fuR","Su1fuR","逆天使の悪魔 【Likey】","","626","796","1084",""
"JourneywithYou.Iris","Rotaeno","jouR.ney with hold","jouR.ney to the end【COVERED】","Su1fuR -All about YOU & ME-","","60","175","562",""
"SecretIllumination.Yooh","Rotaeno","Likey ","迟戈 vs. Likey","NerSAN","","281","863","901",""
"InvertedWorld.ARForest","Rotaeno","Clutter","ɹǝʇʇnlƆ","ƃuɐnɥs∀ .sʌ uoqsnɐ⅁","","246","614","820",""
"月詠に鳴る.Feryquitousfeat藍月なくる","CHUNITHM","IUIsauce","Salt","Myna feat.Sleepyhead","StupiGGy","293","544","858","938"
"TECHNOPOLIS2085.PRASTIKDANCEFLOOR","CHUNITHM","dancing""L""ine 2085","迟戈 vs. Likey","CTYMAX ????","TECHNOXMT vs. LATENCYPOLIS","141","443","820","824"
"祈-我ら神祖と共に歩む者なり-.光吉猛修VS穴山大輔VSKaiVS水野健治VS大国奏音","CHUNITHM","Su1fuRikko ""SouRce of the metaveRse""","Su1fuRikko × rN ""judgemeNt fRom the cataStRophy""","兔咩小 VS 咩小兔 VS 小兔咩 VS 咩兔小 VS 兔小咩","フィグロス譜面チーム ""Rikko feat. Ner"" -Pray for ""PHI""-","666","1111","2222","2222"
"bye.DingerBox","Single","Likey","Likey","Ner ~ See you next time ~","","186","333","725",""
"聖夜讃歌.A39沙包P","Single","爽夜讃歌","爽夜讃歌","NerSANTA & Gausbell","","402","593","1339",""
"ストレイソウルアラウンド.みーに","Rotaeno","JKy as ""Stray Cat""","Stray Cat Around","クラッタ・アナザー・ラウンド","","324","486","908",""
"ManifoldHypothesis.cybermisofeattigerlily","Rotaeno","Likey","Likey","Gausbon feat. 迟戈&野从","","187","401","895",""
"KMoeVIP.ZxNX","Rotaeno","R:kko (IMD)","R:kko (IMD)","C.Max (PBM)","","123","432","1060",""
"GVNGlitterVomitusandNeon.SaltySaltUnfold33","Single","B.B.M.","B.B.M.","A.S.H.","","635","900","1541",""
"CrushBETA.shadow_bling","Single","Clutter BETA","Crush βETA","Timi今天吃神马","","270","666","977",""
"BrokenSky.JungoMAX3feat刘佳宜Snow幻影刃shadow","Single","Clutter","Clutter","Su1fuR","","169","352","459",""
"BRAINHACKER.SOMON","Single","BLACK CTYMAX","COLORFUL CTYMAX","COLORFUL BLACK GAUSBON","","230","372","780",""
"Xenolith.Tatsh","Paradigm: Reboot","RXhuang","RXhuang","Xlutter guided by three Oaths","","202","533","789",""
"ArtificialExistence.JunKuroda","Paradigm: Reboot","Salt","Salt","Salt & _鉄 inspired by 存在証明 [X]","","200","400","800",""
"IndelibleScar.Noah","Paradigm: Reboot","Clutter & Barbarianerman","Salt & Barbarianerman","Likey affected by Ancestral Xhronicle","上班睡大觉_Sleepyhead","316","733","844","1207"
"Antithese.Blacklolita","Single","SeveredEntity (BlindForest vs. rN) feat. Δ","Δ (M3d1uM vs. Salt)","StupiGGy -The Origin-","弧光","313","801","1063","1200"
"PRAGMATISMRESURRECTION.Laur","Single","完璧 [WARNING: DRAG OVERLOAD]","完璧 × 北星","-NerSAN & Su1fuR-","THE LAST 198","1057","661","999","1156"
"ShineAfter.ADeanJocularACE","Single","Su1fuR","Su1fuR","Salt & Uvernight","","262","647","800",""
"Bloom.targ麻团qwq","Single","Salt & Barbarianerman","Salt & Barbarianerman","SPΔDE & 倪尔qwq","","183","724","1053",""
"幽世桔梗.Capchiifeatまるもこ","SHINOBI SLASH","RipHall vs. Likey","RipHall vs. Likey","Su1fuR、快斬！","","223","562","981",""
"千紫万紅.r0yvsWABI","SHINOBI SLASH","Rikko","実戦 with Rikko","Salt & Barbarianerman","","240","779","1200",""
"明鏡烈火.MUEvsRekuMochizuki","SHINOBI SLASH","COC  feat. Su1fuR","COC  feat. Su1fuR","Arenn Salty feat. LDA","","376","566","886",""
"今天不是明天.PIKASONICfeat兰音Reine","Single","扫佛不是嫂夫","扫佛不是嫂夫","杂波不是杂啵，野从不是野丛","","294","546","913",""
"Cuvism.Fl00tvsHalv","TAKUMI³","Rikko","Rikko³ [Normal]","Rikko","JKy vs StrayCat","222","761","830","1088"
"iLArtifact.Link0","TAKUMI³","IUIsauce","IUIsauce","XMT小咩兔 vs. 上班睡大觉_Sleepyhead","","482","925","1279",""
"atruthseekerCommunicationwithUtopiawillbelost.kuro","TAKUMI³","上班睡大觉_Sleepyhead","上班睡大觉_Sleepyhead","-Seek A Lnside Truth-","","328","555","986",""
"BoundedQuietude.FiniteLimitvsSiLiS","Single","LonelyKnight","LonelyKnight","孤独な騎士 Against 魔王、大咩兔","","1127","303","1286",""
"君往何处QuoVadis.M2U","节奏大师","Where are Ctymax and 阿爽?","Where are Ctymax and 阿爽?","Salt","","208","390","935",""
"暗夜苏醒REANIMATE.Warak","节奏大师","Deep Dark Ctymax","reanimate_6k_nm.imd","StupiGGy -The Startline-","","236","842","1262",""
"Grimheart.Puru","Single","SimonAxis","SimonAxis","WhiteCat.","","132","349","577",""
"Thrashforce.KAHvsE0ri4","Single","thrAsh forSe","thrAsh forSe","Uvernight & Su1fuR","","219","673","884",""
"Originally.SNKSMizku","Single","StR-1","StR-9","StrayCat","","136","453","951",""
"黄金之城GOLDTOWN.Memme","节奏大师","Passport:Visitor","Passport:Constructor","Passport:Governor","","90","408","857",""
"双重间谍DoubleAgent.WAVAV","节奏大师","穿山甲-1","StupiGGy","Spy-Simon_Axis | Spy-騎士","","346","738","1353",""
"幻影鬼魅PLEASE.R300K","节奏大师","COC","COC","M3d1uM","imd visual charter ""Rikko"" since 2014","283","639","1080","1145"
"Schadenfreude.ZxNX","Single","StuRmwind","StuRmfeuer","''-1''","","351","600","1257",""
